pre_process_speed, inference_speed, post_process_speed, man_down_speed, deep_sort_speed,CPU_utilization_rate, CPU_temperature, CPU_power_consumption, GPU_memory_used, GPU_utilization_rate, GPU_temperature, GPU_power_consumption
0.2677440643310547, 305.03320693969727, 1.0113716125488281, 0.23794174194335938, 145.22266387939453, 82.2, 57.0,0.0,0.0,0.0,0.0,0.0,0.0
0.27298927307128906, 300.3501892089844, 0.7767677307128906, 0.23412704467773438, 135.9546184539795, 85.3, 58.3,0.0,0.0,0.0,0.0,0.0,0.0
0.2739429473876953, 296.5881824493408, 0.7719993591308594, 0.22649765014648438, 138.23747634887695, 85.8, 59.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2701282501220703, 298.02441596984863, 0.7674694061279297, 0.21600723266601562, 123.2461929321289, 86.8, 59.6,0.0,0.0,0.0,0.0,0.0,0.0
0.31685829162597656, 301.29218101501465, 0.7584095001220703, 0.22101402282714844, 124.90677833557129, 87.6, 60.2,0.0,0.0,0.0,0.0,0.0,0.0
0.30159950256347656, 303.6930561065674, 0.7610321044921875, 0.21409988403320312, 121.62208557128906, 88.3, 60.5,0.0,0.0,0.0,0.0,0.0,0.0
0.31304359436035156, 296.53024673461914, 0.7925033569335938, 0.22077560424804688, 123.5201358795166, 89.4, 60.1,0.0,0.0,0.0,0.0,0.0,0.0
0.5617141723632812, 291.5987968444824, 1.115560531616211, 0.2224445343017578, 126.18827819824219, 89.7, 61.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28705596923828125, 323.9748477935791, 1.0755062103271484, 0.3676414489746094, 158.2639217376709, 90.2, 61.1,0.0,0.0,0.0,0.0,0.0,0.0
0.7293224334716797, 317.3553943634033, 1.0607242584228516, 0.3380775451660156, 148.15974235534668, 91.8, 61.2,0.0,0.0,0.0,0.0,0.0,0.0
0.6933212280273438, 314.13769721984863, 1.0502338409423828, 0.34880638122558594, 151.73816680908203, 92.6, 61.4,0.0,0.0,0.0,0.0,0.0,0.0
0.6976127624511719, 316.7593479156494, 1.0402202606201172, 0.362396240234375, 152.09650993347168, 93.4, 61.7,0.0,0.0,0.0,0.0,0.0,0.0
0.7026195526123047, 322.71575927734375, 0.9946823120117188, 0.34332275390625, 154.98852729797363, 94.5, 61.5,0.0,0.0,0.0,0.0,0.0,0.0
0.7288455963134766, 322.1321105957031, 1.0433197021484375, 0.3502368927001953, 153.17082405090332, 95.5, 61.7,0.0,0.0,0.0,0.0,0.0,0.0
0.6861686706542969, 317.577600479126, 1.0263919830322266, 0.32639503479003906, 155.91716766357422, 95.9, 62.1,0.0,0.0,0.0,0.0,0.0,0.0
0.7216930389404297, 313.0655288696289, 1.0306835174560547, 0.3533363342285156, 152.69994735717773, 96.8, 62.4,0.0,0.0,0.0,0.0,0.0,0.0
0.7069110870361328, 315.24133682250977, 1.0366439819335938, 0.34737586975097656, 152.2212028503418, 97.5, 62.8,0.0,0.0,0.0,0.0,0.0,0.0
0.7295608520507812, 314.59760665893555, 1.047372817993164, 0.33593177795410156, 152.96554565429688, 98.0, 62.3,0.0,0.0,0.0,0.0,0.0,0.0
0.7252693176269531, 311.9535446166992, 1.0530948638916016, 0.3504753112792969, 155.1976203918457, 98.4, 63.1,0.0,0.0,0.0,0.0,0.0,0.0
0.5335807800292969, 316.06292724609375, 0.9975433349609375, 0.3476142883300781, 151.03387832641602, 98.6, 63.2,0.0,0.0,0.0,0.0,0.0,0.0
0.7214546203613281, 313.39168548583984, 1.0564327239990234, 0.3402233123779297, 153.99670600891113, 99.4, 63.4,0.0,0.0,0.0,0.0,0.0,0.0
0.46896934509277344, 307.59263038635254, 1.0364055633544922, 0.33473968505859375, 153.93519401550293, 99.8, 63.7,0.0,0.0,0.0,0.0,0.0,0.0
