pre_process_speed, inference_speed, post_process_speed, man_down_speed, deep_sort_speed,CPU_utilization_rate, CPU_temperature, CPU_power_consumption, GPU_memory_used, GPU_utilization_rate, GPU_temperature, GPU_power_consumption
0.2856254577636719, 70.43933868408203, 1.140594482421875, 0.2830028533935547, 85.26992797851562, 1.4, 53.4, 0.0, 2342.375, 2, 29, 124.028
0.29087066650390625, 13.778209686279297, 0.6909370422363281, 0.2028942108154297, 23.082733154296875, 1.3, 53.4, 0.0, 2342.375, 2, 29, 124.028
0.278472900390625, 13.027667999267578, 0.5812644958496094, 0.16307830810546875, 22.76325225830078, 1.6, 53.5, 0.0, 2342.375, 4, 29, 123.804
0.29850006103515625, 12.875556945800781, 0.5526542663574219, 0.16236305236816406, 58.054208755493164, 1.7, 53.5, 0.0, 2342.375, 4, 30, 124.48
0.2760887145996094, 12.895822525024414, 0.6103515625, 0.1704692840576172, 21.65842056274414, 2.7, 53.5, 0.0, 2342.375, 4, 30, 124.48
0.28133392333984375, 12.680292129516602, 0.5824565887451172, 0.15878677368164062, 21.7134952545166, 2.8, 53.4, 0.0, 2342.375, 11, 30, 124.639
0.2853870391845703, 12.897253036499023, 0.5621910095214844, 0.16236305236816406, 21.75593376159668, 2.5, 53.4, 0.0, 2342.375, 11, 30, 124.639
0.27251243591308594, 12.57777214050293, 0.5862712860107422, 0.16164779663085938, 21.699190139770508, 2.8, 53.4, 0.0, 2342.375, 11, 30, 124.975
0.27441978454589844, 12.491226196289062, 0.5431175231933594, 0.15091896057128906, 21.23737335205078, 2.9, 53.4, 0.0, 2342.375, 11, 30, 124.975
0.274658203125, 12.613773345947266, 0.5450248718261719, 0.1583099365234375, 21.40641212463379, 2.9, 53.4, 0.0, 2342.375, 11, 30, 125.073
0.27823448181152344, 12.672662734985352, 0.5602836608886719, 0.15497207641601562, 21.642446517944336, 2.8, 53.5, 0.0, 2342.375, 14, 30, 125.073
0.2930164337158203, 12.614011764526367, 0.5486011505126953, 0.15974044799804688, 21.759033203125, 2.6, 53.5, 0.0, 2342.375, 14, 30, 125.214
0.2751350402832031, 12.523412704467773, 0.5502700805664062, 0.1494884490966797, 21.650075912475586, 3.7, 53.5, 0.0, 2342.375, 14, 30, 125.214
0.2760887145996094, 12.605905532836914, 0.5602836608886719, 0.15878677368164062, 21.502256393432617, 2.9, 53.5, 0.0, 2342.375, 14, 30, 125.931
0.274658203125, 12.442350387573242, 0.5495548248291016, 0.17380714416503906, 21.207571029663086, 2.9, 53.5, 0.0, 2342.375, 14, 30, 125.931
0.2722740173339844, 12.593984603881836, 0.5421638488769531, 0.15783309936523438, 21.433591842651367, 2.9, 53.3, 0.0, 2342.375, 14, 30, 127.289
0.27871131896972656, 12.78066635131836, 0.5459785461425781, 0.15044212341308594, 21.431446075439453, 2.6, 53.5, 0.0, 2342.375, 14, 30, 127.289
0.28824806213378906, 12.516260147094727, 0.5681514739990234, 0.15735626220703125, 21.615266799926758, 2.9, 53.5, 0.0, 2342.375, 14, 30, 129.327
0.2741813659667969, 12.531280517578125, 0.5528926849365234, 0.1614093780517578, 21.473407745361328, 3.4, 53.5, 0.0, 2342.375, 14, 30, 129.327
0.2791881561279297, 12.395143508911133, 0.5495548248291016, 0.15926361083984375, 21.225929260253906, 2.6, 53.4, 0.0, 2342.375, 14, 30, 130.32
