pre_process_speed, inference_speed, post_process_speed, man_down_speed, deep_sort_speed,CPU_utilization_rate, CPU_temperature, CPU_power_consumption, GPU_memory_used, GPU_utilization_rate, GPU_temperature, GPU_power_consumption
3.662586212158203, 1907.2203636169434, 3.887653350830078, 1.3930797576904297, 1028.8126468658447, 78.9, 0,0.0,0.0,0.0,0.0,0.0,0.0
3.6308765411376953, 1442.0530796051025, 3.0219554901123047, 1.1827945709228516, 1025.6991386413574, 75.7, 0,0.0,0.0,0.0,0.0,0.0,0.0
3.6127567291259766, 943.903923034668, 3.076791763305664, 1.153707504272461, 2862.2732162475586, 72.9, 0,0.0,0.0,0.0,0.0,0.0,0.0
3.737211227416992, 1191.420078277588, 3.2067298889160156, 1.16729736328125, 9433.918237686157, 72.9, 0,0.0,0.0,0.0,0.0,0.0,0.0
3.7431716918945312, 2122.562885284424, 3.1926631927490234, 1.1205673217773438, 1097.0683097839355, 79.5, 0,0.0,0.0,0.0,0.0,0.0,0.0
3.6268234252929688, 1133.476734161377, 3.0732154846191406, 1.1179447174072266, 1019.6003913879395, 74.9, 0,0.0,0.0,0.0,0.0,0.0,0.0
3.6292076110839844, 967.1323299407959, 3.2515525817871094, 1.2021064758300781, 1029.5557975769043, 72.8, 0,0.0,0.0,0.0,0.0,0.0,0.0
3.7136077880859375, 968.256950378418, 3.092527389526367, 1.1374950408935547, 1024.4221687316895, 73.9, 0,0.0,0.0,0.0,0.0,0.0,0.0
3.6287307739257812, 1140.4573917388916, 3.154754638671875, 1.1944770812988281, 1048.142671585083, 75.5, 0,0.0,0.0,0.0,0.0,0.0,0.0
3.633260726928711, 1852.5571823120117, 3.2434463500976562, 1.2331008911132812, 1015.2661800384521, 79.4, 0,0.0,0.0,0.0,0.0,0.0,0.0
3.6377906799316406, 965.595006942749, 3.0791759490966797, 1.1692047119140625, 1012.5410556793213, 73.5, 0,0.0,0.0,0.0,0.0,0.0,0.0
3.6382675170898438, 1367.2606945037842, 3.0913352966308594, 1.1708736419677734, 1267.2154903411865, 77.3, 0,0.0,0.0,0.0,0.0,0.0,0.0
3.6420822143554688, 960.0927829742432, 3.1189918518066406, 1.1320114135742188, 1094.8097705841064, 73.8, 0,0.0,0.0,0.0,0.0,0.0,0.0
